Priority,Score,Company,Salesforce Status,Industry,HQ_US,Description,Signal_WhyNow
HIGH,10,Aura,NO OPP,Cybersecurity/VPN,Y,Consumer identity-theft and online-safety subscription suite (9M+ families),New CFO Brian DeCenzo + Qoria merger (Apr 2026); $150M Series G (Jan 2026); ASX listing planned
HIGH,10,ElevenLabs,NO OPP,AI,Partial,AI voice/audio generation and conversational agents sold via subscriptions/credits,$500M Series D at $11B (Feb 2026); opening GTM offices in 14+ cities incl Mexico City Sao Paulo Tokyo
HIGH,10,Suno,OPP / LOST,AI,Y,AI music/song generation app with consumer subscription tiers,Raised $400M at $5.4B (Jun 2026); shifting to subscriber-only monetization in 2026
HIGH,10,Epic Games,OPP,Gaming,Y,Fortnite maker and storefront pushing direct-to-consumer payments,New Epic Store webshops + Google settlement (fees to 20%) rolling out Jun 30 2026; direct payment push
HIGH,10,Kalshi,OPP / LOST,Sports Betting,Y,CFTC-regulated prediction market exchange,$1B Series F at $22B (May 2026); institutional volume +800%; 50-state sports event contracts
HIGH,9,Perplexity,NO OPP,AI,Y,AI answer engine / search with Pro consumer subscription,~$200M at ~$20-21B; $400M India investment; 238-country 46-language push
HIGH,9,Runway,NO OPP,AI,Y,AI video generation creative tools sold via subscriptions/credits,$315M Series E at $5.3B (Feb 2026); launched Gen 4.5 video model
HIGH,9,Higgsfield,NO OPP,AI,Y,AI video/image generation app on consumption-based credits,$80M Series A ext at $1.3B (Jan 2026); ARR $100M to $300M in ~4mo; credit model + creator payouts
HIGH,9,Mirage (Captions),NO OPP,AI,Y,AI short-form video creation/editing app with consumer subscriptions,$75M growth (Mar 2026); 20M+ users; cash earmarked for global expansion into Asian markets
HIGH,9,Electronic Arts,NO OPP,Gaming,Y,Publisher of EA Sports FC Apex Sims with global D2C and in-game purchases,$55B+ take-private by PIF/Silver Lake cleared ~Apr 2026 (largest gaming LBO ever); restructuring
HIGH,9,Take-Two Interactive (Rockstar),NO OPP,Gaming,Y,Owner of Rockstar/Zynga; console PC and mobile games with large in-game spend,GTA 6 launch Nov 19 2026; expanding D2C commerce platform for in-game/mobile purchases
HIGH,9,Scopely,OPP,Gaming,Y,PIF/Savvy-owned mobile publisher (Monopoly Go Pokemon Go) with heavy global IAP,Acquired Loom Games (>$1B) early 2026; passed $15B lifetime revenue; integrating Pokemon Go
HIGH,9,DraftKings,NO OPP,Sports Betting,Y,Largest US online sportsbook DFS casino and prediction markets operator,Launching crypto-to-cash deposits in 4 states + scaling DraftKings Predictions; new deposit rails
HIGH,9,FanDuel,NO OPP,Sports Betting,Y,#1 US online sportsbook and casino owned by Flutter,Dropping credit-card deposits/withdrawals across all products effective Mar 2 2026 (cashier change)
HIGH,9,Polymarket,NO OPP,Sports Betting,Y,Crypto-native prediction market relaunching in US,ICE/NYSE added $600M (total ~$2B); dissolved US waitlist; new taker-fee schedule live
HIGH,9,PrizePicks,NO OPP,Sports Betting,Y,Largest US DFS pick-em operator,Allwyn closed 62.3% stake for $1.533B (Jan 2026); launched prediction markets in 48 states; new CEO
HIGH,9,Underdog Fantasy,NO OPP,Sports Betting,Y,DFS and prediction-market operator,Acquired Aristotle Exchange (CFTC) for 50-state access; pivoting to prediction markets
HIGH,9,VGW (Chumba/LuckyLand/Global Poker),NO OPP,iGaming,N,Largest US sweepstakes operator restructuring brands and payment stack,Diversifying payment rails away from single-Trustly concentration toward open-banking/ACH/prepaid
HIGH,9,United Airlines,NO OPP,Airlines/Travel,Y,Major US global network carrier with heavy cross-border multi-currency bookings,14-route 2026 expansion incl first-ever US-carrier nonstops + Newark-Seoul Bangkok
HIGH,9,Delta Air Lines,NO OPP,Airlines/Travel,Y,Major US global carrier with extensive international JV partnerships and APM exposure,Largest-ever transatlantic schedule 2026; new Atlanta-Riyadh Boston-Madrid Hong Kong
HIGH,9,Southwest Airlines,OPP / LOST,Airlines/Travel,Y,Large US carrier newly entering transatlantic/transpacific connectivity,First-ever global pivot: six international partnerships launching 2026 (Turkish ANA Icelandair)
HIGH,9,Alaska Airlines,OPP,Airlines/Travel,Y,US carrier (with Hawaiian) building first long-haul intercontinental network,First widebody 787 intl launch Seattle to London Rome Reykjavik; new multi-currency flows
HIGH,9,Spotify,OPP / LOST,Digital Subscriptions,N,Global music/audio streaming with recurring subscriptions across many markets,Hired Lex Ledger as Global Head of Payments focused on localized payments/APMs (Apr 2026)
HIGH,9,Netflix,OPP / LOST,Digital Subscriptions,Y,Global subscription video streaming,Ad tier expanded to 15 new markets incl Colombia Peru Indonesia Philippines (May 2026)
HIGH,9,OnlyFans (Fenix Intl),OPP / LOST,Digital Subscriptions,N,Creator subscription/content platform ($25B+ paid to creators),Sold 16% stake to Architect Capital at $3.15B to grow creator financial-services offering
HIGH,9,Match Group,NO OPP,Dating/Social,Y,Portfolio of dating apps (Tinder Hinge Match) with global recurring subscribers,Launched off-App-Store payments saving >$100M in fees 2026; Hinge intl +28%; new CEO + CFO
HIGH,9,Peloton,NO OPP,Health & Fitness,Y,Connected-fitness hardware + global subscription content platform,New CFO Sid Thacker (Jun 2026); adjacent-markets intl expansion + multi-country Spotify content deal
HIGH,9,Whoop,NO OPP,Health & Fitness,Y,Wearable human-performance platform on recurring membership model,$575M Series G at $10.1B (Mar 2026) earmarked for intl expansion (Europe GCC LatAm Asia); IPO next
HIGH,9,Hims & Hers,NO OPP,Health & Fitness,Y,Telehealth/wellness DTC platform expanding internationally,Proposed Eucalyptus acquisition (~$240M upfront + deferred installments); EU/Canada ops; AU/Japan next
HIGH,9,Chewy,NO OPP,Retail/E-Commerce,Y,US online pet products and pharmacy retailer,First-ever international expansion announced + new CFO Christopher Deppe (ex-Amazon) Feb 2026
HIGH,9,Etsy,OPP,Retail/E-Commerce,Y,Global handmade/vintage goods marketplace,New agentic-payments partnership with Stripe + Google/Microsoft commerce tie-ins (Jan 2026)
HIGH,9,SKIMS,NO OPP,Retail/E-Commerce,Y,DTC shapewear/apparel scaling globally,$225M raise at $5B to fund intl growth; London flagship + Dubai store; beauty M&A
HIGH,9,iHerb,NO OPP,Retail/E-Commerce,Y,Global online health/wellness/supplements retailer (180 countries ~75% intl),Launched on Amazon UK/AU + Albertsons; Saudi/ME fulfillment center live Feb 2026
HIGH,9,Hertz,NO OPP,Car Rental,Y,Global car rental operator (Hertz Dollar Thrifty brands),Unifying in-person + online payment volume onto Stripe; rolling out Apple Pay for US rentals (May 2026)
HIGH,9,Metropolis,NO OPP,Parking,Y,AI-powered checkout-free parking platform (acquired SP Plus),$5B valuation after $500M Series D + $1.1B JPMorgan loan; expanding aviation/airports
HIGH,9,SpotHero,NO OPP,Parking,Y,Parking reservation marketplace app,Being acquired by Uber to power in-app parking; added Google Pay/touchless payments (Feb 2026)
HIGH,9,Lime,NO OPP,Mobility,Y,Shared e-bike/e-scooter micromobility operator,Filed S-1 for Nasdaq IPO (~$2B target); 230 cities/29 countries (May 2026)
