Priority,Score,Company,Industry,HQ_US,Description,Signal_WhyNow
HIGH,10,Aura,Cybersecurity/VPN,Y,Consumer identity-theft and online-safety subscription suite (9M+ families),New CFO Brian DeCenzo + Qoria merger (Apr 2026); $150M Series G (Jan 2026); ASX listing planned
HIGH,10,ElevenLabs,AI,Partial,AI voice/audio generation and conversational agents sold via subscriptions/credits,$500M Series D at $11B (Feb 2026); opening GTM offices in 14+ cities incl Mexico City Sao Paulo Tokyo
HIGH,10,Suno,AI,Y,AI music/song generation app with consumer subscription tiers,Raised $400M at $5.4B (Jun 2026); shifting to subscriber-only monetization in 2026
HIGH,10,Epic Games,Gaming,Y,Fortnite maker and storefront pushing direct-to-consumer payments,New Epic Store webshops + Google settlement (fees to 20%) rolling out Jun 30 2026; direct payment push
HIGH,10,Kalshi,Sports Betting,Y,CFTC-regulated prediction market exchange,$1B Series F at $22B (May 2026); institutional volume +800%; 50-state sports event contracts
HIGH,9,Perplexity,AI,Y,AI answer engine / search with Pro consumer subscription,~$200M at ~$20-21B; $400M India investment; 238-country 46-language push
HIGH,9,Runway,AI,Y,AI video generation creative tools sold via subscriptions/credits,$315M Series E at $5.3B (Feb 2026); launched Gen 4.5 video model
HIGH,9,Higgsfield,AI,Y,AI video/image generation app on consumption-based credits,$80M Series A ext at $1.3B (Jan 2026); ARR $100M to $300M in ~4mo; credit model + creator payouts
HIGH,9,Mirage (Captions),AI,Y,AI short-form video creation/editing app with consumer subscriptions,$75M growth (Mar 2026); 20M+ users; cash earmarked for global expansion into Asian markets
HIGH,9,Electronic Arts,Gaming,Y,Publisher of EA Sports FC Apex Sims with global D2C and in-game purchases,$55B+ take-private by PIF/Silver Lake cleared ~Apr 2026 (largest gaming LBO ever); restructuring
HIGH,9,Take-Two Interactive (Rockstar),Gaming,Y,Owner of Rockstar/Zynga; console PC and mobile games with large in-game spend,GTA 6 launch Nov 19 2026; expanding D2C commerce platform for in-game/mobile purchases
HIGH,9,Scopely,Gaming,Y,PIF/Savvy-owned mobile publisher (Monopoly Go Pokemon Go) with heavy global IAP,Acquired Loom Games (>$1B) early 2026; passed $15B lifetime revenue; integrating Pokemon Go
HIGH,9,DraftKings,Sports Betting,Y,Largest US online sportsbook DFS casino and prediction markets operator,Launching crypto-to-cash deposits in 4 states + scaling DraftKings Predictions; new deposit rails
HIGH,9,FanDuel,Sports Betting,Y,#1 US online sportsbook and casino owned by Flutter,Dropping credit-card deposits/withdrawals across all products effective Mar 2 2026 (cashier change)
HIGH,9,Polymarket,Sports Betting,Y,Crypto-native prediction market relaunching in US,ICE/NYSE added $600M (total ~$2B); dissolved US waitlist; new taker-fee schedule live
HIGH,9,PrizePicks,Sports Betting,Y,Largest US DFS pick-em operator,Allwyn closed 62.3% stake for $1.533B (Jan 2026); launched prediction markets in 48 states; new CEO
HIGH,9,Underdog Fantasy,Sports Betting,Y,DFS and prediction-market operator,Acquired Aristotle Exchange (CFTC) for 50-state access; pivoting to prediction markets
HIGH,9,VGW (Chumba/LuckyLand/Global Poker),iGaming,N,Largest US sweepstakes operator restructuring brands and payment stack,Diversifying payment rails away from single-Trustly concentration toward open-banking/ACH/prepaid
HIGH,9,United Airlines,Airlines/Travel,Y,Major US global network carrier with heavy cross-border multi-currency bookings,14-route 2026 expansion incl first-ever US-carrier nonstops + Newark-Seoul Bangkok
HIGH,9,Delta Air Lines,Airlines/Travel,Y,Major US global carrier with extensive international JV partnerships and APM exposure,Largest-ever transatlantic schedule 2026; new Atlanta-Riyadh Boston-Madrid Hong Kong
HIGH,9,Southwest Airlines,Airlines/Travel,Y,Large US carrier newly entering transatlantic/transpacific connectivity,First-ever global pivot: six international partnerships launching 2026 (Turkish ANA Icelandair)
