Rank,Tier,Company,Sector,Fit,Deck?,Signal (2025-26),Yuno angle
1,1,Cursor (Anysphere),AI / Dev,10,YES,"~$2B ARR, raising ~$50B (Apr'26); Stripe-only + intl declines; hiring Billing eng",Single Stripe rail leaks emerging-mkt signups; add local acquirers + smart-retry routing
2,1,DoorDash,Marketplace,10,YES,"Consolidating DoorDash+Wolt+Deliveroo on one platform; $20B+ Dasher earnings, 40+ ctys (Feb'26)",One layer to unify three acquired marketplaces' payments + cross-border Dasher payouts
3,1,Duolingo,Edtech,10,YES,"400M+ users, MAU growth in India/Brazil/Vietnam/Mexico; growth-first 2026",Migrate Super off 30% IAP to web + UPI/Pix/OXXO to monetize emerging-mkt surge
4,1,Electronic Arts,Gaming,10,YES,FC Mobile Webstore live; ~$4.4B FY25 microtxn; ~$55B PE take-private,"Orchestrate one global integration w/ routing, LPMs, redundancy across multi-store web-billing"
5,1,HBO Max (WBD),Streaming,10,YES,"Global rollout complete (UK/IE, 14 APAC, 15 EU mkts); 150M subs target by end-2026",One API for LPMs across 20+ new countries + PSP failover for fast-scaling intl base
6,1,Hims & Hers,Healthtech,10,YES,$1.15B ZAVA + Eucalyptus/LiveWell M&A → UK/DE/FR/CA/AU (Feb'26); intl rev ~10x,"Stitch overnight multi-region subscription billing into one API w/ LPMs, routing, redundancy"
7,1,Klook,Travel,10,NEW,Filed F-1 for $400-500M NYSE IPO Nov'25; hiring Payments & Fraud PM for multi-PSP engine,"Pre-IPO mktplace paying 120+ currencies, standing up multi-PSP — unify routing/failover/fraud"
8,1,Lyft,Mobility,10,YES,"Closed FreeNow (~$197M, Jan'26) → 9 EU countries; runs Checkout.com + Stripe","Orchestrate the now-fragmented multi-PSP, multi-ctry stack + standardize driver payouts"
9,1,OpenAI,AI,10,NEW,"Instant Checkout/agentic commerce live; ChatGPT Go in 170+ countries, India #2 (Oct'25)","Global subs + agentic commerce needs LPM coverage, auth uplift, PSP redundancy across 170+ ctys"
10,1,Oura,Healthtech,10,YES,Confidential IPO filing May'26 after $900M at $11B; 5M+ paid; Japan/Germany,"IPO-prep makes involuntary-churn reduction, PSP redundancy, new-mkt LPMs directly material"
11,1,Scopely (Savvy),Gaming,10,NEW,Closed $3.5B Niantic (May'25); Monopoly Go $5B D2C + PGO on separate stacks ~10% fees,"Unify enlarged multi-store D2C portfolio, route to lift auth, cut processing + fraud orchestration"
12,1,Spotify,Streaming,10,YES,Apple approved US external payment links May'25; US price hike to $12.99 Feb'26,Orchestrate web-billing across PSPs to recapture 30% IAP + lift auth on price-hike churn cliff
13,1,Strava,Fitness,10,YES,"Launched Pix in Brazil (#2 mkt) Feb'26; confidential ~$3B IPO filing Jan'26, ~$500M ARR",They're wiring LPMs one-by-one; Yuno delivers every LPM via one API for IPO-era monetization
14,1,Vinted (US),Marketplace,10,NEW,'Major' US expansion Jan'26; UK-US cross-border pilot; building Vinted Pay,Greenfield US/cross-border build = the moment for orchestration: US acquirers + EU LPMs + payouts
15,1,Whatnot,Marketplace,10,NEW,$225M Series F at $11.5B (Oct'25) for intl expansion; GMV >$6B 2x YoY; EU sellers +600%,"Hyper-scaling live-shopping GMV across US/UK/EU = routing, redundancy, global LPMs + seller payouts"
16,1,Whoop,Healthtech,10,NEW,$575M Series G at $10.1B (Mar'26) to fund EU/GCC/LatAm/Asia; ~60% new sales intl,LPMs + auth-rate routing to protect $1.1B run-rate in card-light emerging markets
17,1,Anthropic,AI,9,YES,"Subs doubled early'26, ~$30B run-rate, Bengaluru office; Stripe single-PSP (Apr'26)",Stripe-only risk at $30B during intl hypergrowth = redundancy/failover + smart routing
18,1,Coinbase,Crypto,9,YES,Citi partnership incl. 'payments orchestration' (Oct'25); Nium USDC across 190+ ctys,"Global card-deposit/on-ramp + USDC settlement: smart card-auth routing, redundancy, on/off-ramp"
19,1,Discord,Gaming,9,YES,"Hiring Dir Global Payments + eng (Jun'26) after confidential S-1 (~$15B, Jan'26)","Migrate Nitro/Shop to smart-routed web checkout, cut store leakage, add emerging-mkt LPMs + redundancy"
20,1,ElevenLabs,AI,9,YES,"$500M Series D at $11B (Feb'26), 'eyes IPO'; $500M ARR, 14+ GTM cities; Stripe-only+IAP","Add redundancy + local acquiring (Pix, UPI) to lift intl auth pre-public-scrutiny"
21,1,Faire,Marketplace,9,NEW,$5.2B tender (Nov'25) IPO warm-up; expanding to 14 EU countries,"B2B two-sided flows pre-IPO: de-risk single-PSP, lift auth, standardize cross-border brand payouts"
22,1,Kraken,Crypto,9,NEW,$600M Reap acquisition (May'26); confidential IPO filing H2'26,"Pre-IPO card deposits + cross-border settlement: card-auth routing, failover, global acquiring+LPMs"
23,1,Navan,Travel,9,YES,IPO'd Nasdaq Oct'25 (~$960M); card volume $3.7B +35% YoY,Post-IPO margin scrutiny + booming card volume → auth lift + cross-border cost = defensible take-rate
24,1,Robinhood,Fintech,9,YES,Dec'25 Indonesia M&A → SE Asia; 2026 EU crypto via Bitstamp; $5.6B net deposits Feb'26,Onboard per-market LPMs + lift card-deposit auth w/ failover as it funds millions of new accounts
25,1,Skims,DTC,9,NEW,$225M at $5B (Nov'25) for intl; UK flagship + Dubai 2026; >$1B net sales,"$1B+ DTC opening multi-region storefronts: unified global checkout, LPMs, cross-border cost pre-IPO"
26,2,Playtika,Gaming,10,NEW,"Record D2C $291.8M Q1'26 +62.8% YoY, 39% of total, 40% target",~$1.2B/yr D2C across social-casino: routing + LPMs + failover protect highest-margin line
27,2,Allegiant / Sun Country,Travel,9,NEW,~$1.5B Sun Country acquisition (May'26); +18 intl destinations (MX/Central America/Caribbean),Fresh M&A = two stacks to consolidate going cross-border first time: unify acquirers + LatAm LPMs
28,2,Alo Yoga,DTC,9,NEW,4 new UK stores + Champs-Elysees Paris flagship 2026,"Premium DTC pushing into UK/France: localized checkout, EU LPMs, auth lift on cross-border"
29,2,Baseten,AI,9,NEW,"$1.5B round at ~$13B (Jun'26); ~$600M run-rate +1,900%; usage-based billing",Hypergrowth metered inference needs PSP failover + smart routing so declines never stall revenue
30,2,BetterHelp (Teladoc),Healthtech,9,NEW,Launched France (first non-English mkt) 2025; intl rev +12% but lost ~5% payers,LPMs for non-English expansion + dunning to stem paying-user losses
31,2,Bumble,Dating,9,YES,Q1'26 rev -14%; paying users -21% YoY to 3.2M,Smart routing + dunning recovers involuntary churn; IAP→web reclaims store cut
32,2,Chewy,DTC,9,YES,Announced first-ever international market launch (next few quarters),$11B+ pet e-com w/ heavy Autoship subs entering first foreign mkt: port recurring billing without re-integrating
33,2,CoreWeave,Cloud,9,NEW,"Public (Mar'25), $5.1B 2025 rev, $3.5B European expansion (UK HQ + Nordics/Spain DCs)",Newly public multi-region cloud: unify cross-border collections + acquirer redundancy at IPO scale
34,2,Corsair Gaming,Gaming,9,NEW,"Closed Fanatec (Sep'24); 5+ brand storefronts; FY25 ~$1.47B, EMEA ~40%",5+ brand storefronts EMEA-heavy = fragmented multi-PSP estate; consolidate to one API w/ routing+LPMs
35,2,Coursera,Edtech,9,YES,"Q1'26 consumer rev +10% 4th straight; record 7.6M new learners, 205M cumulative",Routing + LPMs to convert huge India/global registered base into paid Coursera Plus
36,2,Crunchyroll (Sony),Streaming,9,YES,21M subs +25% YoY; launching Taiwan & South Korea 2026; Thai localization,Single integration for APAC LPMs to monetize aggressive new-market localization
37,2,Felix Pago,Fintech,9,NEW,$75M Series B (Apr'25) for LatAm expansion; $1B+ processed 2024,WhatsApp card-funded US→LatAm remitter: smart routing lifts card-deposit auth + LPMs per market
38,2,Fireworks AI,AI,9,NEW,"$315M ARR (Feb'26) +416%, 10k+ companies, raising at $15B; usage billing",10k-customer global inference API: LPMs + auth-rate routing to monetize devs in every region
39,2,Flo Health,Healthtech,9,YES,"300M+ registered/6M paid, $275M rev; #1 women's health, overwhelmingly mobile/IAP",Heavy 30% IAP leakage → IAP-to-web migration + LPMs to monetize non-US pools
40,2,FTMO,Fintech,9,NEW,Re-entered US via OANDA (Dec'25); Nuvei case: +20% US card approvals,Already proved routing lifts US auth 20%; extend across multiple PSPs for failover + global payouts
41,2,Fubo,Streaming,9,NEW,Launched skinny 'Fubo Sports' Sep'25; DAZN partnership; Canada expansion,PSP redundancy + routing for new SKUs + cross-border (US/Canada) sports-streaming launches
42,2,Gamma,AI,9,YES,$100M+ ARR + $68M Series B at $2.1B (Nov'25); 70M users majority-intl; Stripe-only,100% Stripe dependency on majority-intl revenue = SPOF; add redundancy + local-acquirer routing
43,2,Grindr,Dating,9,NEW,FY26 roadmap: India + Brazil expansion + premium AI 'Edge' tier,UPI/Pix + PSP redundancy capture non-US users + protect new high-ARPU tier from auth drop-off
44,2,Guesty,Travel,9,NEW,"$130M Series F at $900M (KKR), 2025 IPO intent; 80+ ctys; scaling GuestyPay","Payments-company-in-a-PMS prepping IPO: routing, redundancy, LPMs, cross-border host payouts"
45,2,HeyGen,AI,9,YES,"Stripe case study: +21% auth; $100M ARR ~3x YoY, 140+ languages; Stripe-only+IAP",Already proved auth = revenue; multi-PSP routing + local acquiring across 140 mkts w/ failover
46,2,Hostaway,Travel,9,NEW,$365M raise at $1B (Dec'24) for EU; 90+ ctys; launched embedded financial services,"New payments product across 90+ ctys: one integration for local methods, failover, host payouts"
