Company,Size,Sector,Region/HQ,Fit,Deck?,Yuno angle,Signal
Accor,Enterprise,Hotels,France,10,YES,"Smart routing + LPMs 110 países, un API",
Airalo,Enterprise,eSIM,Singapore,10,NEW,Un API rails locales por mercado + auth cross-border,
Allegro,Enterprise,E-comm marketplace,Poland,10,NEW,Routing + CEE LPMs + marketplace payouts,
Anghami,Enterprise,Music/audio,UAE,10,YES,"Smart routing + LPMs MENA, reduce churn",
Bolt,Enterprise,Mobility super-app,Estonia,10,YES,Smart routing + failover + rider-pay + payout un API,
bolttech,Enterprise,Embedded insurance,Singapore,10,YES,Orchestration mirror modelo multi-país + LPMs,
Crypto.com,Enterprise,Crypto exchange,Singapore,10,NEW,Card-auth routing + acquirer failover global,
Cursor (Anysphere),Enterprise,AI / Dev,US/Global,10,YES,Single Stripe rail leaks emerging-mkt signups; add local acquirers + smart-retry routing,"~$2B ARR, raising ~$50B (Apr'26); Stripe-only + intl declines; hiring Billing eng"
Despegar (Decolar),Enterprise,Online travel,Argentina/Brazil,10,NEW,Routing cross-border + decline recovery high AOV,
DoorDash,Enterprise,Marketplace,US/Global,10,YES,One layer to unify three acquired marketplaces' payments + cross-border Dasher payouts,"Consolidating DoorDash+Wolt+Deliveroo on one platform; $20B+ Dasher earnings, 40+ ctys (Feb'26)"
Duolingo,Enterprise,Edtech,US/Global,10,YES,Migrate Super off 30% IAP to web + UPI/Pix/OXXO to monetize emerging-mkt surge,"400M+ users, MAU growth in India/Brazil/Vietnam/Mexico; growth-first 2026"
EasyPark Group,Enterprise,Parking/mobility,Sweden,10,NEW,Route por mercado + cortar tap-to-park churn,
Electronic Arts,Enterprise,Gaming,US/Global,10,YES,"Orchestrate one global integration w/ routing, LPMs, redundancy across multi-store web-billing",FC Mobile Webstore live; ~$4.4B FY25 microtxn; ~$55B PE take-private
Emirates,Enterprise,Airline,UAE,10,NEW,Un API global LPMs + smart-route high-ticket,
FWD Group,Enterprise,Digital insurance,Hong Kong,10,NEW,Unificar PSPs por mercado + cortar churn premiums,
Garena (Sea),Enterprise,Mobile F2P/esports,Singapore,10,NEW,LPMs + routing para wallets/cash emergentes,
Glovo,Enterprise,Food/q-commerce,Spain/EMEA,10,NEW,Auth cross-border + payout orchestration 25+ países,
