Company,Industry,Type,Region,Fit,Angle,Signal
Cursor (Anysphere),AI,Enterprise,US/Global,10,Single Stripe rail leaks emerging-mkt signups; add local acquirers + smart-retry routing,"~$2B ARR, raising ~$50B (Apr'26); Stripe-only + intl declines; hiring Billing eng"
OpenAI,AI,Enterprise,US/Global,10,"Global subs + agentic commerce needs LPM coverage, auth uplift, PSP redundancy across 170+ ctys","Instant Checkout/agentic commerce live; ChatGPT Go in 170+ countries, India #2 (Oct'25)"
Praktika,AI,Medium,San Francisco CA,10,Smart-routing + IAP→web para users LatAm/India,"$20M rev LTM, 100 países (2025)"
MiniMax (Talkie/Hailuo),AI,Enterprise,China,10,Un API LPMs globales + IAP→web en 200 mercados,
PixVerse (AISphere),AI,Enterprise,China,10,175 países: gap LPM (UPI/Pix/OXXO/SEA wallets),
Apex Trader Funding,Fintech & Crypto,Medium,Austin TX,10,Auth de fees eval + payouts globales a traders,$65M payouts últimos 90d (fin 2025)
Cambly,Education,Medium,San Francisco CA,10,Payouts tutor cross-border + métodos locales,~$250M ARR; base Brasil/MENA/Asia
Curology,Health & Wellness,Medium,San Diego CA,10,Dunning + card-updater para churn en refills Rx,Lanzó hair care Rx; Amazon+Target 2025
Cymbiotika,E-commerce & Retail,Medium,San Diego CA,10,Dunning subscripción + routing global,"Expansión Target 1,900 + Ulta/Sprouts 2025-26"
DoorDash,Marketplace,Enterprise,US/Global,10,One layer to unify three acquired marketplaces' payments + cross-border Dasher payouts,"Consolidating DoorDash+Wolt+Deliveroo on one platform; $20B+ Dasher earnings, 40+ ctys (Feb'26)"
Dossier,E-commerce & Retail,Medium,New York NY,10,Dossier+ recurring billing + LPM routing global,$100M ARR + Target nacional (Sep'25)
Duolingo,Education,Enterprise,US/Global,10,Migrate Super off 30% IAP to web + UPI/Pix/OXXO to monetize emerging-mkt surge,"400M+ users, MAU growth in India/Brazil/Vietnam/Mexico; growth-first 2026"
Electronic Arts,Gaming,Enterprise,US/Global,10,"Orchestrate one global integration w/ routing, LPMs, redundancy across multi-store web-billing",FC Mobile Webstore live; ~$4.4B FY25 microtxn; ~$55B PE take-private
ELSA Speak,Education,Medium,San Francisco CA,10,LPMs LatAm/SEA + escapar 30% via web checkout,Push Brasil/India/Vietnam (2025)
Felix Pago,Fintech & Crypto,Medium,Miami FL,10,Auth de transfers card-funded + failover off single-Stripe,$75M Serie B (Abr'25); $3B acumulado
Fever,Marketplace,Medium,New York NY,10,Routing + LPMs para footprint 40 países payout/checkout,Adquirió Atom+DICE 2025; 20x rev growth
Gruns,E-commerce & Retail,Medium,Austin TX,10,AutoShip recurring billing + dunning; auth-rate hipergrowth,Serie B $500M val (May'25); $300M run-rate
Hallow,Education,Medium,Chicago IL,10,Web-billing para escapar 30% IAP en base de subs,"Lent 2025 ~500K downloads/día, #2 App Store"
HBO Max (WBD),Media & Streaming,Enterprise,US/Global,10,One API for LPMs across 20+ new countries + PSP failover for fast-scaling intl base,"Global rollout complete (UK/IE, 14 APAC, 15 EU mkts); 150M subs target by end-2026"
Hims & Hers,Health & Wellness,Enterprise,US/Global,10,"Stitch overnight multi-region subscription billing into one API w/ LPMs, routing, redundancy",$1.15B ZAVA + Eucalyptus/LiveWell M&A → UK/DE/FR/CA/AU (Feb'26); intl rev ~10x
Klook,Travel & Experiences,Enterprise,US/Global,10,"Pre-IPO mktplace paying 120+ currencies, standing up multi-PSP — unify routing/failover/fraud",Filed F-1 for $400-500M NYSE IPO Nov'25; hiring Payments & Fraud PM for multi-PSP engine
Lyft,Mobility & Energy,Enterprise,US/Global,10,"Orchestrate the now-fragmented multi-PSP, multi-ctry stack + standardize driver payouts","Closed FreeNow (~$197M, Jan'26) → 9 EU countries; runs Checkout.com + Stripe"
Oura,Health & Wellness,Enterprise,US/Global,10,"IPO-prep makes involuntary-churn reduction, PSP redundancy, new-mkt LPMs directly material",Confidential IPO filing May'26 after $900M at $11B; 5M+ paid; Japan/Germany
Outschool,Education,Medium,San Francisco CA,10,Payouts instructor + métodos de pago globales para padres,$229M+ pagado a instructores
Passes,Creator & Social,Medium,West Hollywood CA,10,Redundancia PSP + auth-rate en sub billing; payouts creator,Momentum 2025; pay-per-minute
Peek,Marketplace,Medium,San Francisco CA,10,Redundancia multi-PSP + LPMs globales al consolidar operadores,Adquirió ACME+Connect&GO (Nov'25)
