Rank,Tier,Company,Sector,Est. scale,HQ,Fit,Deck?,Signal,Yuno angle
1,A,Apex Trader Funding,Fintech,"$660M+ paid, ~$15M/mo payouts",Austin TX,10,NEW,$65M payouts últimos 90d (fin 2025),Auth de fees eval + payouts globales a traders
2,A,Cambly,Edtech,"~$250M ARR, $750M val",San Francisco CA,10,YES,~$250M ARR; base Brasil/MENA/Asia,Payouts tutor cross-border + métodos locales
3,A,Curology,Health/Wellness,"~$200M+ rev, profitable",San Diego CA,10,NEW,Lanzó hair care Rx; Amazon+Target 2025,Dunning + card-updater para churn en refills Rx
4,A,Cymbiotika,DTC,"~$150-200M, bootstrapped",San Diego CA,10,NEW,"Expansión Target 1,900 + Ulta/Sprouts 2025-26",Dunning subscripción + routing global
5,A,Dossier,DTC,~$100M ann. (Forerunner),New York NY,10,NEW,$100M ARR + Target nacional (Sep'25),Dossier+ recurring billing + LPM routing global
6,A,ELSA Speak,Edtech,"~$50M rev, Serie C",San Francisco CA,10,NEW,Push Brasil/India/Vietnam (2025),LPMs LatAm/SEA + escapar 30% via web checkout
7,A,Felix Pago,Fintech,"~$1B vol, $75M Serie B",Miami FL,10,NEW,$75M Serie B (Abr'25); $3B acumulado,Auth de transfers card-funded + failover off single-Stripe
8,A,Fever,Marketplace,"~$450M GMV, $1.8B val",New York NY,10,NEW,Adquirió Atom+DICE 2025; 20x rev growth,Routing + LPMs para footprint 40 países payout/checkout
9,A,Gruns,DTC,"~$200-300M ann., $54M raised",Austin TX,10,NEW,Serie B $500M val (May'25); $300M run-rate,AutoShip recurring billing + dunning; auth-rate hipergrowth
10,A,Hallow,Edtech,"~$105M+ raised, Serie C",Chicago IL,10,NEW,"Lent 2025 ~500K downloads/día, #2 App Store",Web-billing para escapar 30% IAP en base de subs
11,A,Outschool,Edtech,"~$200M ARR, bootstrapped",San Francisco CA,10,NEW,$229M+ pagado a instructores,Payouts instructor + métodos de pago globales para padres
12,A,Passes,Creator/Social,"$50M raised, ~$150M val",West Hollywood CA,10,NEW,Momentum 2025; pay-per-minute,Redundancia PSP + auth-rate en sub billing; payouts creator
13,A,Peek,Marketplace,"$2B+ bookings, $70-80M raise",San Francisco CA,10,YES,Adquirió ACME+Connect&GO (Nov'25),Redundancia multi-PSP + LPMs globales al consolidar operadores
14,A,Praktika,Consumer AI,"~$20M ARR, $36M Serie A",San Francisco CA,10,NEW,"$20M rev LTM, 100 países (2025)",Smart-routing + IAP→web para users LatAm/India
15,A,Sleeper,Gaming/Ent,~$67M funding (a16z),San Francisco CA,10,NEW,Expansión prediction markets/picks 2025-26,Auth-rate + LPMs en rails de depósito/payout
16,A,Topstep,Fintech,"$25M+ rev, $102M+ paid",Chicago IL,10,NEW,Plus500 en pláticas de adquisición 2025,Auth en eval fees + payouts
17,A,TripleTen,Edtech,~$60M rev,Cheyenne WY,10,NEW,División LatAm (MX/Chile/PR) 2025,Pix/OXXO/MX cards + installments via un API
18,A,True Classic,DTC,"~$300M+ rev, profitable",Los Angeles CA,10,NEW,Intl 25%+ del e-comm (UK/UAE/CA) 2025,Routing cross-border + LPMs + dunning en tier membership
19,A,Underdog Fantasy,Gaming/Ent,"$1.225B val, $100M Serie C",Brooklyn NY,10,NEW,Triplicó valuación; prediction markets Sep'25,Redundancia PSP + smart routing en rails de depósito
20,A,Whop,Creator/Social,"~$142M ann. rev, $1.6B val",Brooklyn NY,10,NEW,Rev $56M→$142M 2025; Tether $200M Feb'26,Routing + LPMs para escalar payouts/checkout creator global
21,A,ARB Interactive (Modo),Gaming/Ent,"mid-size, adquirió PCH",Miami FL,9,NEW,Adquirió Publishers Clearing House (Jun'25),Redundancia PSP en rails coin-purchase + fraude
22,A,Bloom Nutrition,DTC,"~$140-200M, Nutrabolt",Los Angeles CA,9,NEW,Nutrabolt +$160M (Ene'25); +100% YoY,Crecer sub share via dunning/retry; LPMs + auth-rate
23,A,Boatsetter,Marketplace,$38M+ raised,Fort Lauderdale FL,9,NEW,Bookings high-ticket + payouts duales,Split payouts a owners y captains via un API
24,A,Bubble Skincare,DTC,"~$100M sales, VC",New York NY,9,NEW,Cruzó $100M + expansión global 2025,LPMs intl + local acquiring; sub replenishment
25,A,Caraway,DTC,"~$100-200M, $70M+ raised",New York NY,9,NEW,Expansión producto+retail 2024-25,Routing high-AOV + BNPL en sets $300+
26,A,Comun,Fintech,"~$1B ann. vol, $21.5M Serie A",New York NY,9,NEW,50x crecimiento rev; Serie A 2025,LPMs en mercados receptores + payouts cross-border
27,A,Current,Fintech,"~$1.5B val, $80M round",New York NY,9,NEW,$80M raise + 90%+ growth (fin 2025),Auth de depósitos + routing top-ups con failover
28,A,Cuts Clothing,DTC,~$100M+ rev,Las Vegas NV,9,NEW,Piloto subscripción + crecimiento cross-border 2025,Sub billing infra + auth-rate/redundancia PSP
29,A,Fanbase,Creator/Social,"$15.3M raised, Serie B",Atlanta GA,9,NEW,"Rediseño 2025, push monetización",Failover + LPMs al escalar; reduce churn en subs
30,A,Fomo,Fintech,"$75M Serie B, $550M val",New York NY,9,NEW,$75M Serie B (Jun'26); 625K traders,Auth en on-ramp al escalar global
31,A,Goli Nutrition,DTC,~$45.7M rev,Los Angeles CA,9,NEW,Target nacional + 115 países 2025-26,Routing cross-border + LPMs para footprint 115 países
32,A,Higgsfield,Consumer AI,"~$200M ARR, $1.3B val",San Francisco CA,9,YES,"$1.3B val Ene'26, $200M ARR",Credit billing + routing intl + failover en volumen spiky
33,A,Hipcamp,Marketplace,"mid-market, VC-backed",San Francisco CA,9,YES,Duplicó inventario a 565K sites (May'25),Payouts host + LPMs al expandir geografía
34,A,INK Games,Gaming/Ent,$18.75M Serie B,Austin TX,9,NEW,Serie B cerrada 2025,IAP→D2C web + routing al escalar
35,A,Jinx,DTC,~$28M+ raised,Los Angeles CA,9,NEW,Push retail manteniendo sub DTC 2025,Auth-rate + LPMs; routing en renovaciones sub
36,A,Learner,Edtech,Serie A,Philadelphia PA,9,NEW,Escalando tutoring K-12 post-2024,Automatización payout tutor + checkout padres
37,A,Maelys,DTC,ventas +460% YoY,New York NY,9,NEW,Top-3 fastest-growing DTC beauty 2025,Redundancia PSP + auth-rate en spikes virales
38,A,Momentous,Health/Wellness,"~$80-120M, $75M raised",Park City UT,9,NEW,"Inc. 5000 #392 (2025); 1,258% 3yr",Retry/dunning subscripción + redundancia PSP
39,A,My Funded Futures,Fintech,futures prop fast-growing,Frisco TX,9,NEW,Escalado rápido 2024-25,Auth en fees + failover PSP en eval alto volumen
40,A,Nutrisense,Health/Wellness,mid-market CGM sub,USA,9,NEW,Modelo CGM+coaching $225-399/mo escalando,Dunning + retry en subs metabólicas high-ticket
41,A,Pair Eyewear,DTC,"~$20M+, $145M raised",New York NY,9,NEW,Lanzó UK+Australia (2024-25),Auth-rate + LPMs UK/AU; dunning en recompradores
42,A,Phantom,Fintech,"$150M Serie C, $3B val",San Francisco CA,9,NEW,Pivot a 'consumer finance platform' 2025,Orquestar auth on-ramp + failover de ramps
43,A,PLAYSTUDIOS,Gaming/Ent,"$235M TTM rev, public",Las Vegas NV,9,NEW,$235M TTM (Dic'25),IAP→web store para escapar 30% + routing
44,A,Pray.com,Edtech,"~$34M raised, Serie A+",Santa Monica CA,9,NEW,"17M+ users, top grossing religioso",IAP leakage + rails locales al internacionalizar
